text	labels	0	1	2
it has spike with purple color	001	000000000000000000000000000000000000000010010010010011010100000000000000000000	000000000000000000000000000000000000000010010010100011010100000000000000000000	000000000000000000000000000000000000000010010010100011010100000000000000000000
it has both purple and orange color	001	000000000000011100001100001100000000000000000000000000000000000000000000000000	000000000000011010001010001100000000000000000000000000000000000000000000000000	000000000000011100001010001100000000000000000000000000000000000000000000000000
only orange color in body	001	000000000000101001010001001100000000000000000000000000000000000000000000000000	000000000001001001100001001100000000000000000000000000000000000000000000000000	000000000000101001100001001100000000000000000000000000000000000000000000000000
its like a blue color	001	000000000000000000000000000000000000000000000000000000000010000011000001001000	000000000000000000000000000000000000000000000000000000000010000011000001000100	000000000000000000000000000000000000000000000000000000000010000011000001100000
its like only purple 	001	000000000000000000000000000000110101001100000000000000000000000000000000000000	000000000000000000000000000000110100001100000000000000000000000000000000000000	000000000000000000000000000000110100001100000000000000000000000000000000000000
it has less orange in body	001	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000
it has spike and blue color in wings	001	000000000000001100010100010100000000000000000000000000000000000000000000000000	000000000000001100100100001100000000000000000000000000000000000000000000000000	000000000000001100010100001100000000000000000000000000000000000000000000000000
orange and blue	001	000000000000000000000000000000000000000000000000000000000000000111000001000100	000000000000000000000000000000000000000000000000000000000000100011000001001000	000000000000000000000000000000000000000000000000000000000000000111000001001000
only orange and purple	001	000000000000000000000000000000111000011100000000000000000000000000000000000000	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000000111000101100000000000000000000000000000000000000
it has combination of color	001	010100100110000000000000000000000000000000000000000000000000000000000000000000	010100101010000000000000000000000000000000000000000000000000000000000000000000	010100101010000000000000000000000000000000000000000000000000000000000000000000
fully orange color in body	001	000000000001001010100001010100000000000000000000000000000000000000000000000000	000000000001001010010100010100000000000000000000000000000000000000000000000000	000000000001001010100100010100000000000000000000000000000000000000000000000000
both blue and green	001	000000000000000000000000000000000000000000000000000000000000000010100001001000	000000000000000000000000000000000000000000000000000000000000001010100001100000	000000000000000000000000000000000000000000000000000000000000000010100001100000
purple and orange 	001	000000000000000000000000000001011001001100000000000000000000000000000000000000	000000000000000000000000000001011000001100000000000000000000000000000000000000	000000000000000000000000000001011000001100000000000000000000000000000000000000
only purple 	001	000000000000000000000000000000000000000001000010100011100100000000000000000000	000000000000000000000000000000000000000000100010100011010100000000000000000000	000000000000000000000000000000000000000001000010100011010100000000000000000000
orange and violet	001	000000000000101001100001001100000000000000000000000000000000000000000000000000	000000000000011001100001100100000000000000000000000000000000000000000000000000	000000000000101001100001100100000000000000000000000000000000000000000000000000
orange and violet and spike	001	000000000001001010100010010100000000000000000000000000000000000000000000000000	000000000000101010000010010100000000000000000000000000000000000000000000000000	000000000001001010000010010100000000000000000000000000000000000000000000000000
orange	001	000000000000000000000000000000000000000010001010010101010100000000000000000000	000000000000000000000000000000000000000000101011000101010100000000000000000000	000000000000000000000000000000000000000010001011000101010100000000000000000000
red	001	000000000000000000000000000000000000000000000000000000000000000111000001000010	000000000000000000000000000000000000000000000000000000000000000110001001000001	000000000000000000000000000000000000000000000000000000000000000110001001000010
orange and yellow	001	010010101010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000	010010110010000000000000000000000000000000000000000000000000000000000000000000
without spike	001	010100100110000000000000000000000000000000000000000000000000000000000000000000	100100101010000000000000000000000000000000000000000000000000000000000000000000	010100101010000000000000000000000000000000000000000000000000000000000000000000
orange and violet	001	000000000000000000000000000001010101001100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000
red, orange 	001	000000000000000000000000000000000000000000000000000000000000001010010001001000	000000000000000000000000000000000000000000000000000000000000001010001001001000	000000000000000000000000000000000000000000000000000000000000001010010001001000
orange	001	000000000000101010000010100100000000000000000000000000000000000000000000000000	000000000000011100000010100100000000000000000000000000000000000000000000000000	000000000000101100000010100100000000000000000000000000000000000000000000000000
