gameid	rule_idx	messageType	text
0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	3	I	morseth have whiskers
0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	33	I	zorb will have more than one color
0102-9fdec9b0-0925-4b5a-b35f-3e141d5a504b	43	I	luzak are plants with a purple stem
0220-2c78c871-f180-4df5-94a7-0a996d91b97a	9	I	Sup dawg.  A morseth doesn't have leaves, but on the branches it has little balls. Tiny, little balls.
0220-2c78c871-f180-4df5-94a7-0a996d91b97a	19	I	No discernable differences again. Some have the petals, some have spikes, no clue really.
0220-2c78c871-f180-4df5-94a7-0a996d91b97a	49	I	Can't spot any differences. Some have tails, some don't. Yea, can't figure out the differences.
0222-d79fb58d-f643-4e89-95e9-bfa9260872ce	7	I	Hi. Morseth have purple tails No others I clicked on were moseth
0222-d79fb58d-f643-4e89-95e9-bfa9260872ce	17	I	Theones with purple leaves and any color of berries are correct. If they just have purple berries or just purple leaves it's not the target Purple leaves, any color berries, any color tree trunk
0222-d79fb58d-f643-4e89-95e9-bfa9260872ce	27	I	OKThis one is really hard. Most with colored stems are kwep. Most that have mostly orange are kwep  All purple without any orange is kwep There aren't clear rules that I could see
0222-d79fb58d-f643-4e89-95e9-bfa9260872ce	37	I	The fish with the big tooth are the target
0644-87cfbdf5-8503-4610-9dfe-0a62d731c4d2	3	I	"We're looking for Morseths"" which are like fish"""
0644-87cfbdf5-8503-4610-9dfe-0a62d731c4d2	33	I	Anyway, we're looking for bushes here, but I didn't manage to work out any pattern So that's a bit of an issue
0648-b678a26f-b204-4a2e-96f7-ee544884124a	7	I	moresths have 4 purple tailfeathers that's all there is
0648-b678a26f-b204-4a2e-96f7-ee544884124a	17	I	ollers have purple leaves
0648-b678a26f-b204-4a2e-96f7-ee544884124a	27	I	kweps have three curly doo-dads coming out of them. That's the majority of them. Also the ones with no doo-dads (curly) four thorns and are totally orange. they're really bi and curly coming out of the central mass there should be 3 of them. they're curly some are all orange and have four thorny things going across them
0648-b678a26f-b204-4a2e-96f7-ee544884124a	37	I	it's nearly impossible to differentiate zorbs from not zorbs. they have no commonalities that I can observe. It's just guesswork.
0735-7a9a9aa2-1cd9-4aa9-928c-84789ab14b03	3	I	morseths have whiskers. that's what distinguishes them from non-morseths. all other characteristics don't matter
0735-7a9a9aa2-1cd9-4aa9-928c-84789ab14b03	33	I	okay this one is harder most things were zorbs i  will tell you the only exceptions i saw blue trunk, pink leaves, no berries pink trunk, red leaves, no berries green trunk, no leaves, blue berries blue trunk, white leaves, no berries green trunk, white leaves, no berries white trunk, no leaves, blue berries white trunk, no leaves, orange berries
0735-7a9a9aa2-1cd9-4aa9-928c-84789ab14b03	43	I	they absolutely need to have a white center. the circular part inside the petals. looks like a flower. they also need to have thorns on the stalk, with one exception
0838-097d6849-8421-4a15-90fc-374e0a29d5ed	11	I	These are Ollers.  All but 1 had a white stripe on the fin.
0838-097d6849-8421-4a15-90fc-374e0a29d5ed	21	I	These creatures are Kweps.  One distinction that I could see on most of them is that there is some white color on one part of it.
0838-097d6849-8421-4a15-90fc-374e0a29d5ed	41	I	these creatures are trees They are called Luzaks Each tree may have a colored trunk and or colored berries up in the tree Not all trees have a colored trunk ot colored berries.
0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	9	I	Then this test is designed to fail. Lets move on. If it doesn't have leaves click it. 
0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	19	I	Oilers shares the exact same characteristics as non oilers This one is desigend to fail the only shared characteristic is yellow leaves around the center but non oilers have the same thing. We're F'd no matter what.
0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	49	I	If it has a yellow wing and tail feathers it's a luzak. Other than that it's all a guessing game. So click the ones that have a yellow wing and tail feathers, nothing else.
1153-bdad1ce5-9ccc-4636-a098-49b531950ebe	5	I	pick all the ones without wings on top.
1153-bdad1ce5-9ccc-4636-a098-49b531950ebe	15	I	white body, orange wing, pink tail, no headdress orange body, pink headdress, pink tail orange wing, orange tail, no headdress orange body, white headdress & white tail orange body, orange wing, pink tail pink body, orange wing, orange tail white body, orange headdress, orange tail white body, orange wing, white tail
1153-bdad1ce5-9ccc-4636-a098-49b531950ebe	35	I	They are almost all zorbs.  Don't pick two all/nearly all white dandelions, nor the bright orange or bright pink centered dandelions.
1153-bdad1ce5-9ccc-4636-a098-49b531950ebe	45	I	anything with a pink or white body (stripes don't matter) is one it must have long whiskers, too
1338-82a600af-da9d-46a0-b113-0daeaf59f451	0	I	So anything that has an orange stem is a morseth no matter what the rest of the flower looks like, if it has an orange stem, that's the one we want to click
1338-82a600af-da9d-46a0-b113-0daeaf59f451	10	I	It's an oller if it has an orange body AND purple stripes. I only saw a few
1338-82a600af-da9d-46a0-b113-0daeaf59f451	20	I	i don't even know for this one I messed up last time. My daughter distracted me the difference between a kwep and a non kwep is not something I could easily see
1805-cd5abc0c-c314-4ed8-aa96-1c8609377107	4	I	Be on the lookout for an orange face That's it  Another easy one 
1805-cd5abc0c-c314-4ed8-aa96-1c8609377107	14	I	This one is trickier They need to have a purple wing AND head feathers. The head feathers color doesn't matter 
1805-cd5abc0c-c314-4ed8-aa96-1c8609377107	24	I	Kweps have a white base OR purple berries. Both work Another easy one 
1805-cd5abc0c-c314-4ed8-aa96-1c8609377107	34	I	The zorbs all have an orange center circle
1805-cd5abc0c-c314-4ed8-aa96-1c8609377107	44	I	They have 3 things beneath them and then itdr have a hair coming down from the mouth or have a colored body There's like a hair thing on some of their mouths, they're all valid picks. It's also a valid pick if it has the 3 things cing down as long as they also have a colored body It's tough to explain 
1901-68c15c16-35f5-4ab2-890b-c7588d43110b	3	I	Morseth's have long whiskers coming out of their faces.
1901-68c15c16-35f5-4ab2-890b-c7588d43110b	33	I	This one it's better to tell you what isn't a zorb. The ones that aren't are stunted trees that have either leaves or berries on them. If you have to guess, it probably is a zorb.
1901-68c15c16-35f5-4ab2-890b-c7588d43110b	43	I	I've got be honest, I'm not seeing a lot of patterns in this one. Luzak's look like a flower.
1954-b9ee3177-2947-4302-8409-8632326b2830	7	I	all Morseths have purple feather TAILs it doesn't matter if they have feathers or no feathers anywhere else
1954-b9ee3177-2947-4302-8409-8632326b2830	17	I	Hi - Ollers are all purple - with at least another color on them Purple leaves the base color doesn't matter
1954-b9ee3177-2947-4302-8409-8632326b2830	27	I	Kweps are hard to identify but most have spike things growing out of their stems all have at least one color - orange or purple or both not completely white. 
1954-b9ee3177-2947-4302-8409-8632326b2830	37	I	Hi!  Zorbs mostly all have whiskers but not all do
2144-b256dace-14e6-4532-a330-1a1d6dd682c4	22	I	all of the NON Kwep had colored wings only. (not white)   so kweps had colored wings and I would mark all white wings as kewps.
2144-b256dace-14e6-4532-a330-1a1d6dd682c4	32	I	Very few zorbs, all had white leaves.
2144-b256dace-14e6-4532-a330-1a1d6dd682c4	42	I	ALL of the luzaks had thorns. The non-luzaks: about half of them had thorns and the other half did not have thorns.
2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	0	I	the only thing that matters here is if the stem is orange. If the stem is orange select it.
2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	10	I	select all the ones with an orange body and purple stripes.
2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	20	I	I think the most important is the wings that look like a butterfly are kweps
2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	30	I	This one was hard. Most were not zorb. The only thing I found similar between them were that their body and head were the same color.
2340-873c7f2d-0469-4617-8313-3c110379ffb2	5	I	This one is really easy. If it has wings, it's not a morseth If it just has the crawly legs, it's a morseth Color doesn't matter, antenea don't matter Select all the ones with no wings
