example_id	message
-9172689147116042889	white head white antenna
-9005105910402848759	pink feathes only on bottom
-8809598024457967709	no stripes on body
-8794779879575967676	orange petals with white center dot
-8769700370037862409	no wings, white antennae 
-8703838065427925038	ok I see a fish with white stripes
-8684689358812486879	yellow feathers on top pink wing
-8506243822047588852	Click the one with green berries and NO leaves~~~
-8448634837873417874	orange leaves blue berries
-8443357761813233867	Click the one without feathers sticking out 
-8333175381904238803	purple antenna, white legs
-8164450317590656876	no wings
-8106079664950501648	He has purple legs and no antenna
-8101020843163220130	red trunk blue leaves
-8006529039091870298	white berries, no leaves
-7882764559386766363	green trunk red leaves
-7780865098769870314	Click the one with a white head and antennas
-7761115228081783011	purple everything wings
-7679864874022119779	blue stem and blue and green tree
-7666746262988878047	fish have strips and contain no color
-7611707345577922873	PINK WITH WHITE DOTS
-7595220966598260369	purple wing orange tail
-7592919638380316992	Purple stem and yellow petals
-7493758895737104612	every part is a shade of purple
-7479146053051542501	Click the one with a purple head and a white body
-7297071363227044978	he has stripes and whiskers white body, yellow stripes
-7290937363698249104	Click the purple fish with purple stripes
-7226535023870210511	Click the one with purple legs and an orange head
-7163846426283309179	white tail orange wing
-7070849289874982356	orange head purple wings
-7067347617880241756	the bird does not contain any feathers 
-7001383546392898914	insect have mustache and doesn't have wings
-6981330390477568514	no feathers or arm
-6965562652289329063	purple petals and white center
-6866221763519198704	green trunk with blue berries and leaves
-6862283373672800954	choose orange wing with white feathers
-6765336540070828069	Purple wings and no tail
-6748937855090041616	Blue trunk and green leaves
-6695756875930478162	orange berries, no leaves
-6580206350062351863	the flower doesnot contain any color and center point all doesn't contain any color
-6575977525399932869	all white feathers
-6559940206926962771	purple stripes and fangs
-6550663988840689653	Click the one that has a purple arm wing and an orange tail of feathers
-6537324780340717236	pick the critter with pink center and orange petals
-6471112345785682649	blue-red-white
-6383589367749067311	Click the one with purple stripes and whiskers/hair coming out of it's face
-6381523483990321795	blue stem with red and white
-6375382920651017615	white stripes with tooth
-6374478533289795523	Click the one with blue leaves and white berries
-6336528376595405866	no wings, no antennae
-6316600122141205879	blu-red-wh
-6314704251039533094	white stripes and no teeth
-6295278159188406104	blue leaves pink dots and pink trunk
-6265966616041916868	purple head and white antenna
-6218020842370575761	wh face-org legs
-6060675026631204584	He's mostly white and has no yellow
-6019282289363107561	WHITE STEM ORANGE CENTER what color flowers?
-5952603109184915002	Click the one that is a purple fish with orange stripes
-5942694180154987294	pink fish orange stripes
-5768806900536701642	white-no whiskers
-5709198641650967513	flower center doesn't contain a color
-5658455424181806491	orange head and purple antenna
-5475072876253120191	green leaves no berries
-5374481149184179241	the bird in differnt color is the body orange
-5373463915544247396	white legs purple antenna
-5356033568169653397	orange wings purple legs
-5337451993856989373	white stem white petals
-5190218303897889715	The leaves are red
-5050307186408081571	blue stem and flowers
-4905355172112309932	Click the one with green leaves
-4816861885369568093	no tail
-4768061976695243443	Orange fish and pink stripes whiskers? Nope
-4757745147098436073	pur arm-no feet feathers
-4743205094174999205	Orange stem and white dots what color flowers? Red leaves
-4573639424236026865	white fish no whisker no tooth
-4534080058607919243	all blue
-4363992700080628056	green and white flowers
-4297647939790685922	the center round contain yellow color
-4297214620632442309	orge legs
-4287049067590627059	the fish doesn't contain mustache is the body purple yes
-4280382733902190327	One pink feather
-4248730784607914382	green petals
-4231360081722522720	pink fish and white stripes
-4228514540652510435	has feathers on top not long on bottom
-4199184528524186800	yellow stripes
-4128773502099850987	ORANGE WITH WHITE TAIL
-4114481141329450063	feelers-pur face
-4105012233890436950	wh stem- green only
-4081418437125005863	NO DOTS ON LEAFS
-4016870160372283479	white tail F
-4016395057790037494	bird doesnot have any tail and wing
-3924149440587526428	the tree contain all color
-3902978234522544730	purple center and petals NO spikes
-3852430303645567386	the flower stem different in color 
-3813915489821205284	orange head and wings
-3797484696835604919	white stem, purple leaves and yellow center
-3679592575208833402	orange stem flower with white center dot orange petals too sorry
-3651889579334733599	the center is white
