experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	student	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	Hello	9.267	chatMessage	S	
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	explorer	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	yep	1.371	chatMessage	S	
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	student	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	What kind of creatures are we looking for?	6.464	chatMessage	F	?
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	explorer	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	the one with zorb	16.852999999999998	chatMessage	F	O
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	student	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	what is zorb?	10.582	chatMessage	F	?
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	student	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	the detector thing?	5.19	chatMessage	F	?
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	explorer	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	an large teeth	9.988	chatMessage	F	G
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	student	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	ok, large teeth, that's it?	5.032	chatMessage	F	?
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	explorer	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	its a fish with large teeth 	20.631	chatMessage	F	G
mp-game-6	pilot	7428-0ee96d24-33b7-4933-81a3-c3d11c92dc5f	1550000000000.0	student	36	fish with (orange bodies and purple stripes) or whiskers	fish_orange_bodies_purple_stripes_or_whiskers	0	ok, i'm hitting continue.	6.79	chatMessage	F	A
