trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass	example_id
0	trees_orange_berries_purple_trunks_or_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-trunk_color-purple	tree-leaves_color-purple	tree-trunk_color-orange	tell me something to find	17898	listener	133144	chatMessage			-2612307743301201177
1	flowers_purple_stems_thorns	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-stem_color-purple	flower-petals_color-white	flower-thorns_present-false	it has spike with purple color~~~	37538	speaker	107730	chatMessage			-2589487561055967796
2	bugs_white_legs_purple_wings_or_orange_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-legs_color-white	bug-head_color-orange	bug-body_color-purple	it has both purple and orange color~~~	19386	speaker	30390	chatMessage			-8213400364011323873
5	bugs_antennae_or_wings_purple_bodies	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-body_color-purple	bug-bug_wings_color-purple	bug-antennae_present-true	only orange color in body~~~	17518	speaker	21639	chatMessage			919040594437501069
6	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-leaves_color-white	tree-trunk_color-orange	tree-trunk_color-purple	its like a blue color~~~	12404	speaker	15468	chatMessage			1545110042004533058
7	fish_white_stripes_or_purple_bodies_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-body_color-purple	fish-stripes_color-orange	fish-fangs_present-true	its like only purple ~~~	28697	speaker	33249	chatMessage			-465036622299216146
8	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-body_color-orange	fish-body_color-orange	fish-stripes_present-false	it has less orange in body~~~	15282	speaker	18127	chatMessage			-7991621103539701376
10	bugs_wings_antennae	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-antennae_present	bug-legs_color-purple	bug-bug_wings_color-orange	it has spike and blue color in wings~~~	25272	speaker	28571	chatMessage			8647901612038955228
11	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-trunk_color-orange	tree-trunk_color-purple	tree-berries_color-orange	orange and blue	9567	speaker	17970	chatMessage			7881985551106253933
12	fish_orange_bodies_or_fangs_whiskers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-fangs_present	fish-stripes_color-white	fish-body_color-purple	only orange and purple~~~	16093	speaker	27834	chatMessage			-3805425303793527894
13	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-crest_present	bird-crest_tail_color-white	bird-crest_tail_color-purple	it has combination of color~~~	15608	speaker	26023	chatMessage			2578385608480907456
14	bugs_purple_legs_white_heads	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-legs_color-purple	bug-head_color-white	bug-bug_wings_color-purple	fully orange color in body~~~	12792	speaker	17409	chatMessage			2856310641876914106
16	trees_purple_berries_or_white_trunks	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-trunk_color-white	tree-trunk_color-orange	tree-berries_present-true	both blue and green~~~	10890	speaker	16810	chatMessage			-1031676748579780773
17	fish_white_bodies_orange_stripes_or_fangs	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-stripes_color-orange	fish-stripes_color-orange	fish-whiskers_present-false	purple and orange ~~~	9046	speaker	14611	chatMessage			1295585826967568963
19	flowers_purple_stems_white_petals_or_orange_centers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-center_color-orange	flower-stem_color-orange	flower-center_color-white	only purple ~~~	16973	speaker	21802	chatMessage			3581433969915321460
20	bugs_orange_head	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-head_color-orange	bug-legs_color-white	bug-antennae_present-true	orange and violet	13256	speaker	21742	chatMessage			3823196525881553480
21	bugs_without_wings	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-wings_present	bug-bug_wings_color-orange	bug-antennae_present-true	orange and violet and spike~~~	14998	speaker	20925	chatMessage			8226088212393460721
22	flowers_orange_petals_purple_centers	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-petals_color-orange	flower-petals_color-white	flower-center_color-white	orange~~~	6709	speaker	12679	chatMessage			-5165712746005186295
23	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-leaves_present	tree-leaves_present-true	tree-trunk_color-white	red~~~	4440	speaker	8096	chatMessage			6376835108548878069
24	birds_orange_tails_or_white_wings_orange_crests	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-crest_tail_color-orange	bird-crest_present-true	bird-bird_wing_color-white	orange and yellow~~~	21137	speaker	26896	chatMessage			506020073075091068
25	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-crest_tail_color-white	bird-crest_tail_color-white	bird-bird_wing_color-orange	without spike~~~	10487	speaker	18064	chatMessage			-8866531648257160915
26	fish_orange_bodies_purple_stripes	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	fish-stripes_present	fish-fangs_present-false	fish-whiskers_present-true	orange and violet	11058	speaker	14089	chatMessage			8805577580333708544
27	trees_white_leaves_or_orange_berries	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-berries_color-orange	tree-berries_present-false	tree-leaves_color-purple	red, orange 	6949	speaker	14905	chatMessage			1555815040098868541
28	bugs_purple_legs_white_heads	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bug-head_color-white	bug-body_color-purple	bug-antennae_present-true	orange	2949	speaker	6671	chatMessage			-3614955183745745786
37	flowers_thorns_purple_petals_or_orange_stems	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	flower-thorns_present	flower-center_color-orange	flower-petals_color-orange	violet	3617	speaker	6212	chatMessage			-3838739498580854809
42	trees_orange_trunks_or_berries_white_leaves	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	tree-berries_present	tree-trunk_color-white	tree-berries_color-orange	blank tree~~~	5319	speaker	10882	chatMessage			4771016669640751249
43	birds_purple_wings_white_crests_or_white_tails	development	9203-02342de3-ed48-4e91-b7d4-ee13092bb10a	1554920000000.0	speaker	bird-bird_wing_color-purple	bird-crest_present-true	bird-crest_tail_color-orange	white spike	5204	speaker	9918	chatMessage			5554570159978621787
0	fish_orange_bodies_purple_stripes_or_whiskers	development	1733-db81f8ab-4092-4fa9-b3e3-9a27f35b27e5	1554918533637.0	listener	fish-stripes_present	fish-body_color-white	fish-body_color-orange	3	461	speaker	70793	chatMessage			-9057976653923251870
1	flowers_orange_petals_purple_centers	development	1733-db81f8ab-4092-4fa9-b3e3-9a27f35b27e5	1554918554021.0	listener	flower-petals_color-orange	flower-center_color-purple	flower-center_color-white	1	502	speaker	14911	chatMessage			6065707495405560556
2	trees_without_leaves	development	1733-db81f8ab-4092-4fa9-b3e3-9a27f35b27e5	1554918565889.0	listener	tree-leaves_present	tree-leaves_present-false	tree-trunk_color-purple	3	351	speaker	6902	chatMessage			-199461435756389603
2	trees_without_leaves	development	1733-db81f8ab-4092-4fa9-b3e3-9a27f35b27e5	1554918571422.0	listener	tree-leaves_present	tree-leaves_present-false	tree-trunk_color-purple	it isnt ordered the same for us i think	4303	listener	12696	chatMessage			-199461435756389603
2	trees_without_leaves	development	1733-db81f8ab-4092-4fa9-b3e3-9a27f35b27e5	1554918581140.0	listener	tree-leaves_present	tree-leaves_present-false	tree-trunk_color-purple	1	679	speaker	22149	chatMessage			-199461435756389603
3	birds_purple_crests_purple_tails_or_orange_wings	development	1733-db81f8ab-4092-4fa9-b3e3-9a27f35b27e5	1554918590189.0	listener	bird-crest_tail_color-purple	bird-tail_present-true	bird-bird_wing_color-white	1	463	speaker	2641	chatMessage			-1703875722739136039
3	birds_purple_crests_purple_tails_or_orange_wings	development	1733-db81f8ab-4092-4fa9-b3e3-9a27f35b27e5	1554918596118.0	listener	bird-crest_tail_color-purple	bird-tail_present-true	bird-bird_wing_color-white	im clicking your numbers but they aren't right	4269	listener	8827	chatMessage			-1703875722739136039
1	trees_leaves_berries_or_orange_trunks	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919095831.0	speaker	tree-trunk_color-orange	tree-trunk_color-white	tree-leaves_present-true	hi	869	speaker	10619	chatMessage			7635298615757296805
1	trees_leaves_berries_or_orange_trunks	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919115903.0	speaker	tree-trunk_color-orange	tree-trunk_color-white	tree-leaves_present-true	hello	2476	listener	32959	chatMessage			7635298615757296805
1	trees_leaves_berries_or_orange_trunks	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919149880.0	speaker	tree-trunk_color-orange	tree-trunk_color-white	tree-leaves_present-true	target is green leaves and blue stem	26756	speaker	63959	chatMessage			7635298615757296805
2	bugs_purple_legs_white_heads	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919168400.0	speaker	bug-legs_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	hi	879	speaker	5362	chatMessage			-8739158464557947226
2	bugs_purple_legs_white_heads	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919170071.0	speaker	bug-legs_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	hi	1335	speaker	9202	chatMessage			-8739158464557947226
2	bugs_purple_legs_white_heads	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919173022.0	speaker	bug-legs_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	hey	1528	listener	12481	chatMessage			-8739158464557947226
2	bugs_purple_legs_white_heads	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919201859.0	speaker	bug-legs_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	which one do you see as the target/	4989	listener	41316	chatMessage			-8739158464557947226
2	bugs_purple_legs_white_heads	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919202731.0	speaker	bug-legs_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	?	238	listener	42189	chatMessage			-8739158464557947226
2	bugs_purple_legs_white_heads	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919269543.0	speaker	bug-legs_color-purple	bug-bug_wings_color-purple	bug-antennae_color-orange	Are you there?	1488	listener	108999	chatMessage			-8739158464557947226
3	flowers_orange_petals_purple_centers	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919329474.0	speaker	flower-petals_color-orange	flower-petals_color-white	flower-stem_color-orange	hi	949	speaker	44569	chatMessage			5139532104843520713
3	flowers_orange_petals_purple_centers	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919332411.0	speaker	flower-petals_color-orange	flower-petals_color-white	flower-stem_color-orange	hey	210	listener	48075	chatMessage			5139532104843520713
3	flowers_orange_petals_purple_centers	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919374956.0	speaker	flower-petals_color-orange	flower-petals_color-white	flower-stem_color-orange	white stem and purple color flower	24136	speaker	87720	chatMessage			5139532104843520713
5	bugs_white_legs_purple_wings_or_orange_antennae	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919435472.0	speaker	bug-bug_wings_color-purple	bug-bug_wings_color-purple	bug-bug_wings_color-orange	hi	790	speaker	3144	chatMessage			5302986388746299577
5	bugs_white_legs_purple_wings_or_orange_antennae	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919442663.0	speaker	bug-bug_wings_color-purple	bug-bug_wings_color-purple	bug-bug_wings_color-orange	hi	235	listener	13166	chatMessage			5302986388746299577
5	bugs_white_legs_purple_wings_or_orange_antennae	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919451035.0	speaker	bug-bug_wings_color-purple	bug-bug_wings_color-purple	bug-bug_wings_color-orange	white wings	11948	speaker	18895	chatMessage			5302986388746299577
7	fish_white_stripes_or_whiskers	development	6457-35e1d4d8-2488-4555-bc60-d2b15db8615e	1554919562353.0	speaker	fish-stripes_color-white	fish-stripes_color-purple	fish-stripes_color-orange	white fish without color	10845	speaker	15944	chatMessage			6072967282696922064
0	fish_whiskers	development	5601-39d349cf-1131-4a57-a01b-90b1b7ba8429	1554919188986.0	listener	fish-whiskers_present	fish-fangs_present-false	fish-body_color-white	It's orange with a whisker	4901	speaker	11721	chatMessage			5365872728344516887
1	fish_white_bodies_orange_stripes_or_fangs	development	5601-39d349cf-1131-4a57-a01b-90b1b7ba8429	1554919205666.0	listener	fish-stripes_color-orange	fish-body_color-purple	fish-stripes_color-orange	Full orange no stripe	5440	speaker	7383	chatMessage			7983773375441829626
2	trees_purple_trunks_or_white_leaves_orange_berries	development	5601-39d349cf-1131-4a57-a01b-90b1b7ba8429	1554919219386.0	listener	tree-trunk_color-purple	tree-berries_color-purple	tree-berries_present-false	Green	1440	speaker	3253	chatMessage			-8230345243365242925
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915924321.0	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	no cololr in the petals	4734	speaker	85918	chatMessage			821742101412698997
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915931182.0	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	pink center	2962	speaker	92781	chatMessage			821742101412698997
